,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.6183,0.2772
1,LPC 16;0_dup,0.2271,0.3286
2,LPC O- 18;3,0.4001,0.2705
3,LPC O-18;2,0.3596,0.2518
4,LPC O-16;2_dup,0.5473,0.2604
5,LPC 15;1,0.7832,0.4936
6,LPC 18;1,0.3534,0.3112
7,LPC 18;0_dup,0.3193,0.3229
8,LPC 16;0,0.495,0.2861
9,LPC O-18;3,0.2821,0.5193
10,LPC O-18;2_dup,0.23,0.5508
11,LPC 18;1_dup,0.3959,0.2798
12,LPC 18;0,0.4128,0.2445
13,LPC 20;4,0.485,0.3028
14,Cer 36;1,0.0649,0.5827
15,LPC 22;6,0.5051,0.3545
16,Cer 40;2,0.5885,0.4385
17,Cer 42;2,0.5741,0.4595
18,PE(30;1) ,0.2456,0.7491
19,HexCer(d32;2) ,0.6855,0.303
20,PA(34;2) ,0.6266,0.2135
21,PE(32;1) _dup,0.4518,0.521
22,PE(32;1) ,0.5081,0.4401
23,PA(34;1),0.8164,0.2221
24,PG(30;1) _dup,0.5933,0.2419
25,PG(30;1) ,0.6406,0.2314
26,LPE(34;6) ,0.3988,0.5106
27,PC 31;0_dup,0.0937,0.9529
28,PA(P-38;6) ,0.1535,0.8364
29,SM 36;1,0.4558,0.3898
30,PC 32;1_dup,0.3747,0.3102
31,PC 32;0,0.5075,0.3426
32,PA 36;4,0.5449,0.3328
33,PI-Cer(t28;0) _dup,0.2985,0.815
34,PA(36;3) ,0.4051,0.2388
35,PI-Cer(t30;2) ,0.2467,0.4996
36,PA 36;2,0.7066,0.204
37,PI-Cer(t30;1) _dup,0.6787,0.1962
38,PE(34;1) ,0.1179,0.9208
39,PA 36;1,0.5082,0.1962
40,PA 36;1_dup,0.6486,0.2171
41,SM 34;1,0.6357,0.7569
42,PI-Cer(t30;0) ,0.2983,0.374
43,PI-Cer(t30;0) _dup,0.5543,0.2185
44,PC 31;0,0.5695,0.6396
45,PC(30;0) ,0.5119,0.2125
46,PG 32;0,0.3328,0.3598
47,PC 33;1,0.163,1.0856
48,PC 33;0,0.5649,0.4061
49,PI-Cer(t28;0) ,0.5293,0.3003
50,SM(d36;1) ,0.7819,0.3165
51,PC(32;1) ,0.6982,0.259
52,PE-Cer(d38;1) ,0.3717,0.7789
53,PE 34;1,0.3151,0.2541
54,PC 34;2,0.2648,0.4082
55,PC 34;1,0.3122,0.3499
56,PC 34;0,0.2446,0.3263
57,PC 34;0_dup,0.3747,0.3459
58,PI-Cer(t30;0) _dup,0.0764,0.9535
59,PE 38;6,0.2678,1.0542
60,PA 38;3,0.4036,0.2086
61,PI-Cer(t32;2) ,0.3464,0.2362
62,PE(36;2) ,0.0983,1.0237
63,PS(O-34;0(OH)) ,0.7368,0.4584
64,SM(d36;2) ,0.7938,0.282
65,PA 39;1,0.6814,0.5063
66,PI-Cer(t32;1) ,0.1092,0.8281
67,PI-Cer(t32;1) _dup,0.6247,0.2239
68,PE O-36;2,0.4623,0.4392
69,PE 38;4,0.595,0.375
70,PA(38;1) ,0.4155,0.3489
71,SM 36;1_dup,0.7955,0.3361
72,PC 32;1,0.7801,0.2372
73,PE 36;0,0.7794,0.319
74,LBPA(34;1) ,0.7243,0.2293
75,PC 32;0_dup,0.823,0.283
76,PG(34;0) ,0.8196,0.279
77,PC 35;1,0.442,0.4047
78,PA 40;4,0.682,0.2518
79,PC 35;0,0.3253,0.7254
80,PI-Cer(t30;1) ,0.4533,0.2911
81,PE 36;4,0.3959,0.3074
82,PI-Cer(t30;0) _dup,0.2948,0.5072
83,PE 36;3,0.1832,0.8977
84,PE 36;2,0.4203,0.2896
85,HexCer 36;1,0.6775,0.4076
86,PC 34;1_dup,0.758,0.2361
87,HexCer 40;2,0.6674,0.5646
88,PE O-39;7,0.4367,0.2427
89,CerP(t42;1) ,0.4936,0.2393
90,PC 34;0_dup,0.6558,0.2472
91,PE 38;6_dup,0.4683,0.6534
92,PE O-39;6,0.1048,0.8974
93,PE(36;0) ,0.4882,0.2541
94,PC 36;2,0.3119,0.3338
95,PA 40;6,0.3184,0.7074
96,PA 40;6_dup,0.6632,0.2735
97,PC 36;1_dup,0.5412,0.3834
98,PA(40;5) ,0.7053,0.256
99,PI-Cer(t32;1) _dup,0.6508,0.2466
100,PE O-38;5_dup,0.1303,0.8876
101,PE 38;4_dup,0.5554,0.4486
102,PE 40;6_dup,0.348,1.176
103,PG(36;1(OH)) ,0.2782,1.4368
104,PE 37;2,0.5712,0.2604
105,PE 40;4,0.3693,0.463
106,SM 38;1,0.726,0.3855
107,PC 34.1,0.7148,0.2865
108,PG(36;1) ,0.7114,0.2755
109,PE O-40;6,0.6514,0.2337
110,PE O-40;6_dup,0.7417,0.2689
111,PE 38;6_dup,0.6811,0.3453
112,PC 37;1,0.2539,0.5149
113,PG(34;1(OH)) ,0.621,0.3131
114,PA 42;4,0.3758,0.4558
115,PE O-38;5,0.252,0.2847
116,PC 36;4,0.7758,0.2991
117,PI-Cer(t32;1) _dup,0.1952,0.8464
118,PE 38;4_dup,0.6037,0.3606
119,PC 38;6,0.4997,0.3655
120,PC 36.2,0.4809,0.2509
121,HexCer 40;0,0.6177,0.4296
122,PC 35;2,0.4429,0.6674
123,HexCer 38;1,0.7228,0.4928
124,PC 36;1,0.5737,0.2513
125,PA(42;8) ,0.4796,0.3614
126,PE(40;7) ,0.2848,0.8597
127,PC 35;1_dup,0.566,0.2353
128,PA 42;7,0.5533,0.3073
129,SM 42;2,0.4911,0.5281
130,PE(P-40;6) ,0.3072,0.7748
131,PE 40;6,0.5854,0.3816
132,PG(36;1(OH)) _dup,0.4966,0.4699
133,PE(O-40;6) ,0.1839,0.9158
134,PE O-41;11,0.4132,0.338
135,PC 36;4_dup,0.8192,0.3293
136,PE(42;6) ,0.2328,0.8321
137,PS(38;0) ,0.7672,0.4137
138,PG(38;4) ,0.8051,0.3064
139,PC O-39;9,0.7112,0.2718
140,PC 36;3,0.4374,0.2762
141,HexCer 40;1,0.774,0.5252
142,PG(38;3) ,0.3809,0.3322
143,PE(40;9) ,0.644,0.418
144,PE O-42;8,0.5121,0.2529
145,PG(38;2) ,0.4718,0.2295
146,SM 40;1,0.7804,0.6991
147,PE(40;8) ,0.1439,0.9321
148,PC 36;1_dup,0.6594,0.2813
149,PG(38;1) ,0.6466,0.2571
150,PE 40;7,0.6384,0.3185
151,PS 36;1,0.6234,0.5969
152,PC 38;6_dup,0.7332,0.2875
153,PE 40;6_dup,0.6364,0.4424
154,PC 38;5,0.6514,0.3623
155,PG(36;1(OH)) _dup,0.6154,0.3942
156,PC 38;4_dup,0.723,0.2945
157,HexCer 42;2,0.7661,0.5836
158,PE(40;4) ,0.4674,0.2677
159,Hex2Cer 32;1,0.4166,0.6013
160,PC 40;6,0.37,0.453
161,SM 42;2_dup,0.6275,0.6424
162,HexCer 40;2;O3,0.6971,0.4688
163,PI-Cer(d38;0) ,0.7657,1.0165
164,HexCer(t40;0) ,0.7139,0.454
165,HexCer(t40;0) _dup,0.7148,0.4799
166,SM(t40;1) ,0.5199,0.4626
167,PC 38;6_dup,0.7772,0.3412
168,PG(40;6) ,0.7625,0.3118
169,PC(38;5) ,0.6247,0.3712
170,PC(38;5) _dup,0.7633,0.3232
171,PS(40;1) ,0.7125,0.4048
172,PG(40;5) ,0.7307,0.2951
173,PC 38;4,0.7657,0.3247
174,HexCer 42;2_dup,0.7836,1.1701
175,HexCer(t42;2) ,0.7074,0.4298
176,PG(40;4) ,0.7514,0.3063
177,PS 38;4,0.5511,0.6424
178,PC 38;3,0.6596,0.2779
179,HexCer 42;1,0.7135,0.4105
180,HexCer 42;1_dup,0.7757,0.7495
181,PA(48;11) ,0.3638,0.6545
182,SM 42;2_dup,0.6355,0.5024
183,PC 38;2,0.6892,0.3547
184,PE(40;2(OH)) ,0.4183,0.5905
185,PC 38;1,0.7611,0.3598
186,PG(40;1) ,0.7242,0.4097
187,PC 40;6_dup,0.5682,0.3278
188,HexCer 42;2;O3,0.7446,0.8026
189,HexCer 42;1;O3,0.7473,1.0074
190,PGP(34;1) ,0.3798,0.6217
191,HexCer(t42;0) ,0.6977,0.4363
192,SM(t42;1) ,0.395,0.5628
193,PC(40;7) ,0.6237,0.3093
194,PC 40;6_dup,0.6548,0.3691
195,PG(42;6) ,0.6298,0.3371
196,Hex2Cer 32;0,0.4461,0.5718
197,SHexCer 38;1;3,0.4159,0.4286
198,PE(44;11(OH)) ,0.0901,0.9359
199,PC(40;4) ,0.527,0.3023
200,PS(40;4) ,0.1306,0.9444
201,PIP(O-36;5) ,0.1901,0.8671
